pid,type,treatment,mature pods?,flowering?,non-expt damage,condition,notes
1,TB,WAND,,,,1,
304,DC,CON,,,,2,
3,TB,WE,,,,2,
184,DC,WOWE,yes,,,1,
5,TB,WOWE,,good,,3,
6,DC,WE,,,,0,
7,TB,CON,,,heavy,1,
8,DC,WAND,,,,1,
9,TB,WAND,,,moderate,2,
10,DC,CON,,bad,,3,
11,TB,WAND,,,heavy,2,
178,DC,WE,yes,,,2,
13,TB,CON,,,heavy,1,
14,DC,WOWE,,,,3,
15,TB,WE,,,heavy,1,
180,DC,WAND,yes,,,0,
17,TB,WOWE,,,heavy,1,
18,DC,CON,,,,2,
19,TB,WE,,,heavy,2,
196,DC,WE,,,,3,
21,TB,CON,,good,moderate,3,
22,DC,WOWE,,,,1,
23,TB,WAND,,,heavy,1,
24,DC,CON,,,,1,
25,TB,WOWE,,,moderate,2,
26,DC,WE,,,,1,
27,TB,WE,,good,,2,
194,DC,WOWE,yes,bad,,3,
29,TB,WOWE,,,moderate,2,
30,DC,WAND,yes,,,1,
31,TB,WE,,,moderate,1,
32,DC,CON,,,,0,
33,TB,CON,,good,,1,
34,DC,WE,,,,0,
35,TB,WAND,,,moderate,2,
36,DC,WOWE,,,,2,
37,TB,WOWE,yes,good,,2,
38,DC,CON,,,,3,
39,TB,WAND,,good,moderate,3,
40,DC,WE,yes,,,0,
41,TB,WE,,,,0,
42,DC,WOWE,yes,,,0,
43,TB,CON,,,heavy,2,
44,DC,WAND,yes,,,0,
45,TB,WOWE,yes,,,2,
46,DC,WE,,bad,,3,
47,TB,CON,,good,heavy,3,
48,DC,WOWE,,,,3,
171,TB,WAND,,,,0,
50,DC,CON,,,,1,
51,TB,WOWE,,,heavy,1,
52,DC,WAND,yes,,,0,
53,TB,WE,,,moderate,3,
182,DC,WE,,,,1,
55,TB,CON,,,,2,
56,DC,WAND,yes,good,,4,
57,TB,WE,yes,,,2,
58,DC,WOWE,yes,,,1,
59,TB,WOWE,,,,1,
60,DC,CON,,,,1,
61,TB,WAND,,,heavy,2,
62,DC,WE,,,,3,
63,TB,CON,,good,,4,
64,DC,WAND,,good,,3,
65,TB,WOWE,,good,moderate,3,
68,DC,WE,,good,,3,
67,TB,WE,,good,,2,
66,DC,CON,yes,,,0,
69,TB,WAND,,good,,2,
302,DC,CON,yes,,,1,
71,TB,CON,,good,moderate,3,
72,DC,WAND,,bad,,3,
73,TB,WAND,,,,4,
74,DC,CON,,good,,4,
75,TB,WE,yes,good,,2,
76,DC,WOWE,,,,1,
77,TB,WOWE,,good,,2,
78,DC,WE,,good,,3,
79,TB,CON,,,moderate,3,
80,DC,WAND,yes,bad,,2,
81,TB,WAND,,,moderate,3,
82,DC,CON,,,,3,
