date,PID,damage,condition,num.pod.m,num.pod.im,num.flower.pol,num.flower.unpol,num.imm.small,notes
09/06/2021,1,,1,0,0,0,0,,
09/06/2021,304,,1,0,10,0,0,,
09/06/2021,3,,1,0,0,0,0,,
09/06/2021,7,mod,1,0,0,0,0,,
09/10/2021,184,,1,1,1,0,0,,
09/10/2021,5,mod,2,26,28,2,5,,
09/10/2021,6,,0,1,0,0,0,,
09/10/2021,10,,2,1,16,0,0,,
09/10/2021,11,mod,2,0,0,0,0,,
09/10/2021,178,,3,3,12,1,3,,
09/11/2021,13,heavy,1,0,0,0,0,,
09/11/2021,15,heavy,1,0,0,0,1,,
09/11/2021,18,,2,1,2,0,0,,
09/11/2021,19,heavy,1,0,9,5,13,,
09/11/2021,21,mod,2,0,3,5,37,,
09/11/2021,24,,0,2,3,0,0,,
09/12/2021,9,,1,0,4,3,6,,
09/12/2021,14,,1,2,11,0,0,,
09/12/2021,180,,0,2,0,0,0,,
09/12/2021,196,,3,0,13,2,1,,
09/12/2021,22,,0,2,2,0,0,,
09/12/2021,26,,0,1,0,0,0,,
09/12/2021,27,,1,0,28,1,4,,
09/12/2021,29,heavy,2,12,0,0,0,,imm pods eaten
09/12/2021,32,,0,1,0,0,0,,
09/12/2021,33,,1,17,24,7,4,,
09/16/2021,31,mod,1,0,1,0,0,,
09/18/2021,17,mod,1,0,0,0,0,,
09/18/2021,25,heavy,1,0,29,3,10,,
09/18/2021,194,,2,1,5,2,3,,
09/18/2021,35,heavy,1,0,0,0,0,,
09/18/2021,37,heavy,1,77,0,4,2,,
09/18/2021,38,,3,2,14,0,0,,
09/18/2021,39,mod,2,33,0,0,4,,
09/18/2021,41,,1,0,0,0,0,,
09/18/2021,43,heavy,1,0,0,0,0,,
09/18/2021,45,,2,45,0,1,0,,
09/18/2021,47,mod,2,4,0,2,0,,
09/18/2021,171,,1,0,0,0,0,,
09/18/2021,50,,0,4,1,0,0,,
09/18/2021,51,mod,1,0,4,2,12,,
09/24/2021,53,mod,3,0,2,3,3,,
09/24/2021,55,,1,0,0,3,18,,
09/24/2021,59,,1,0,4,6,5,,
09/24/2021,60,,1,6,0,0,0,,
09/24/2021,63,,3,1,21,1,7,,
09/24/2021,65,mod,2,29,10,3,1,,
09/24/2021,67,,2,0,0,4,2,,imm pods eaten
09/24/2021,66,,0,4,0,0,0,,
09/24/2021,69,,1,39,30,3,9,,
09/24/2021,71,mod,3,2,36,12,36,,
09/24/2021,73,mod,3,0,0,1,1,,
09/25/2021,74,,4,9,57,2,3,,threw out 45 moldy imm pods unmeasured
09/25/2021,75,,3,37,40,4,5,,
09/25/2021,79,,3,23,17,0,1,,
09/25/2021,81,mod,3,0,0,0,0,,
09/25/2021,82,,3,8,13,2,1,,threw out 13 moldy imm pods unmeasured
09/25/2021,83,,3,21,31,12,6,,
09/25/2021,85,,4,10,60,1,3,,
09/25/2021,89,,3,13,118,1,5,,
09/25/2021,90,,3,2,15,6,1,,
09/25/2021,91,heavy,2,10,29,10,8,,
09/25/2021,93,mod,4,18,5,12,25,,
09/25/2021,95,,3,60,37,3,0,,
09/27/2021,30,,,,,,,,could not find
09/27/2021,36,,0,0,4,0,0,,
09/27/2021,40,,0,2,0,0,0,,
09/27/2021,44,,0,2,0,0,0,,
09/27/2021,46,,2,2,16,4,0,,
09/27/2021,48,,1,3,23,0,0,,threw out 23 moldy imm pods unmeasured
09/27/2021,52,,0,2,0,0,0,,
09/27/2021,182,,0,4,0,0,0,,
09/27/2021,97,,4,0,15,8,17,,
09/27/2021,87,,2,47,5,3,5,,
09/27/2021,99,,3,95,23,7,10,,
09/30/2021,111,mod,3,0,0,0,0,,
09/30/2021,115,mod,2,22,92,6,0,,
09/30/2021,117,mod,4,27,66,12,35,,
09/30/2021,119,heavy,2,0,0,0,0,,
09/30/2021,121,mod,4,19,13,25,56,,
10/04/2021,8,,0,4,0,0,0,,
10/04/2021,23,heavy,1,4,2,0,0,,imm pods eaten
10/04/2021,34,,0,8,0,0,0,,
10/04/2021,42,,0,1,0,0,0,,
10/04/2021,56,,2,8,31,5,0,,
10/04/2021,57,mod,2,90,2,1,1,,
10/04/2021,58,,0,6,0,0,0,,
10/04/2021,61,,2,0,7,7,0,,
10/04/2021,62,,1,11,8,3,0,3,
10/04/2021,64,,2,40,30,5,4,,threw out 30 moldy immature unmeasured
10/06/2021,68,,2,54,28,7,4,,threw out 28 moldy immature unmeasured
10/06/2021,302,,0,2,0,0,0,,
10/06/2021,72,,2,2,14,4,0,0,
10/06/2021,76,,0,4,0,0,0,,
10/06/2021,77,,1,38,48,0,0,,
10/06/2021,78,,3,21,30,6,1,5,
10/06/2021,80,,0,4,0,0,0,,
10/06/2021,190,,3,7,4,2,0,1,
10/08/2021,86,,2,5,11,0,0,,
10/08/2021,88,,3,11,22,1,0,8,
10/08/2021,92,,2,4,11,2,4,,
10/08/2021,94,,2,4,23,2,0,,
10/08/2021,96,,3,30,43,3,1,2,
10/08/2021,98,,2,3,7,1,0,2,
10/08/2021,167,mod,4,63,20,1,21,,
10/08/2021,165,mod,3,1,30,10,38,,mat pods eaten
10/08/2021,163,heavy,2,25,25,10,5,,
10/08/2021,161,,4,52,34,8,29,,
10/08/2021,159,mod,3,120,20,11,70,,
10/08/2021,157,heavy,2,0,0,1,3,,
10/08/2021,155,mod,2,61,62,20,38,,
10/08/2021,153,mod,3,0,0,0,0,,
10/08/2021,151,mod,2,8,71,6,1,,
10/08/2021,149,mod,2,0,7,14,46,,
10/08/2021,147,mod,3,0,5,5,17,,
10/08/2021,145,heavy,1,0,0,0,3,,
10/12/2021,100,,3,12,60,2,1,,
10/12/2021,101,,3,67,49,24,44,,
10/12/2021,102,,3,16,24,0,1,,
10/12/2021,103,,3,70,33,4,12,,
10/12/2021,192,,2,7,11,0,0,,
10/12/2021,105,,1,92,6,3,31,,
10/12/2021,106,,2,5,14,0,1,,
10/12/2021,107,,4,28,49,24,47,,
10/12/2021,108,,3,28,52,9,6,,
10/12/2021,109,,2,0,0,9,31,,
10/12/2021,300,,1,3,11,0,0,,
10/12/2021,112,,3,6,41,0,2,,
10/14/2021,113,,3,74,31,8,18,,
10/14/2021,114,,0,3,0,0,0,,
10/14/2021,116,,2,4,12,2,0,,
10/14/2021,118,,3,17,49,0,0,,
10/14/2021,120,,3,17,32,0,0,,
10/14/2021,122,,2,11,22,1,1,,
10/15/2021,123,,3,29,3,8,59,,
10/15/2021,124,,0,9,2,0,0,,
10/15/2021,125,,4,156,5,6,50,,
10/15/2021,126,,4,23,80,1,3,,
10/15/2021,127,,1,0,57,9,17,,
10/15/2021,128,,2,13,35,2,1,,
10/16/2021,162,,4,47,58,13,1,,
10/16/2021,164,,3,40,59,4,0,,
10/16/2021,143,,4,88,3,19,66,,
10/16/2021,141,,1,4,8,10,33,,
10/16/2021,139,,4,26,96,12,97,,
10/16/2021,137,,2,0,24,26,38,,
10/16/2021,135,,4,222,146,15,68,,
10/16/2021,133,,2,178,17,4,9,,
10/16/2021,131,,2,122,84,22,48,,
10/16/2021,129,,3,23,66,14,79,,
10/18/2021,166,,1,37,4,3,2,,
10/18/2021,168,,4,10,72,1,0,,
10/18/2021,130,,2,14,22,0,0,,
10/18/2021,132,,0,5,0,0,0,,
10/18/2021,134,,2,7,20,0,4,,
10/18/2021,136,,3,10,82,6,3,,
10/18/2021,138,,3,23,30,2,0,,
10/19/2021,140,,0,1,0,0,0,,
10/19/2021,142,,1,9,10,0,0,,
10/19/2021,144,,2,10,19,0,0,,
10/20/2021,146,,2,7,38,1,0,,
10/20/2021,148,,3,12,33,11,1,,
10/20/2021,150,,3,17,7,1,1,,
10/20/2021,152,,3,19,59,0,0,,
10/20/2021,154,,0,10,6,0,0,,
10/20/2021,156,,2,13,23,2,3,,
10/20/2021,158,,3,5,34,1,1,,
10/20/2021,160,,3,12,45,5,3,,
