"PID","tot.area","type","treatment"
1,2281.39121553786,"TB","WAND"
3,948.844017680714,"TB","WE"
5,2502.78012617614,"TB","WOWE"
6,961.977764692,"DC","WE"
7,0,"TB","CON"
8,2279.300888207,"DC","WAND"
9,908.390913111,"TB","WAND"
10,0,"DC","CON"
11,1927.67671928643,"TB","WAND"
13,0,"TB","CON"
14,302.044614641,"DC","WOWE"
15,1968.12982385614,"TB","WE"
17,1292.09409328743,"TB","WOWE"
18,0,"DC","CON"
19,1877.66192082186,"TB","WE"
21,0,"TB","CON"
22,1679.015827391,"DC","WOWE"
23,1534.41184521514,"TB","WAND"
24,0,"DC","CON"
25,403.729294716,"TB","WOWE"
26,1436.619301985,"DC","WE"
27,1513.48300392571,"TB","WE"
29,5249.28258228914,"TB","WOWE"
30,1944.258556422,"DC","WAND"
31,1251.64098871771,"TB","WE"
32,0,"DC","CON"
33,0,"TB","CON"
34,129.447691989,"DC","WE"
35,4098.57391725043,"TB","WAND"
36,404.841934539,"DC","WOWE"
37,2786.05283393286,"TB","WOWE"
38,0,"DC","CON"
39,1594.89106432443,"TB","WAND"
40,680.236177089,"DC","WE"
41,948.844017680714,"TB","WE"
42,43.149230663,"DC","WOWE"
43,1897.68803536143,"TB","CON"
44,2760.289770553,"DC","WAND"
45,0,"TB","WOWE"
46,491.140395865,"DC","WE"
47,0,"TB","CON"
48,431.49230663,"DC","WOWE"
50,0,"DC","CON"
51,3533.03220425557,"TB","WOWE"
52,1715.817713001,"DC","WAND"
53,1393.02641696643,"TB","WE"
55,0,"TB","CON"
56,723.385407752,"DC","WAND"
57,545.114722964714,"TB","WE"
58,1970.908928513,"DC","WOWE"
59,847.911694001714,"TB","WOWE"
60,0,"DC","CON"
61,403.729294716,"TB","WAND"
62,2425.247438768,"DC","WE"
63,0,"TB","CON"
64,739.884266324,"DC","WAND"
65,2422.77664378657,"TB","WOWE"
66,0,"DC","CON"
67,1635.34416889414,"TB","WE"
68,637.086946426,"DC","WE"
69,989.297122250429,"TB","WAND"
71,0,"TB","CON"
72,1814.810864433,"DC","WAND"
73,1191.16176960843,"TB","WAND"
74,0,"DC","CON"
75,504.661618395,"TB","WE"
76,1769.118457183,"DC","WOWE"
77,100.932323679,"TB","WOWE"
78,464.490023774,"DC","WE"
79,0,"TB","CON"
80,906.133843923,"DC","WAND"
81,504.661618395,"TB","WAND"
82,0,"DC","CON"
83,1292.09409328743,"TB","WAND"
85,0,"TB","CON"
86,534.289626528,"DC","WOWE"
87,504.661618395,"TB","WE"
88,809.683869078,"DC","WAND"
89,646.047046643714,"TB","WOWE"
90,0,"DC","CON"
91,1877.66192082186,"TB","WE"
92,215.746153315,"DC","WE"
93,0,"TB","CON"
94,474.641537293,"DC","WOWE"
95,1927.67671928643,"TB","WAND"
96,0,"DC","CON"
97,4886.00639214286,"TB","WOWE"
98,534.289626528,"DC","WE"
99,635.582625999,"TB","WE"
100,1515.14886447256,"DC","WOWE"
101,3513.006089716,"TB","WOWE"
102,604.089229282,"DC","WAND"
103,1635.34416889414,"TB","WE"
105,0,"TB","CON"
106,172.596922652,"DC","WE"
107,3260.22391714357,"TB","WAND"
108,129.447691989,"DC","WOWE"
109,2079.52656817986,"TB","WOWE"
110,0,"DC","CON"
111,1978.59424450086,"TB","WAND"
112,345.193845304,"DC","WE"
113,1191.16176960843,"TB","WE"
114,1224.677317136,"DC","WOWE"
115,0,"TB","CON"
116,3058.530216728,"DC","WAND"
117,3957.18848900171,"TB","WOWE"
118,215.746153315,"DC","WE"
119,0,"TB","CON"
120,1354.125009125,"DC","WOWE"
121,4058.12081268071,"TB","WAND"
122,0,"DC","CON"
123,1191.16176960843,"TB","WOWE"
124,1682.819995857,"DC","WAND"
125,605.593942074,"TB","WE"
126,431.49230663,"DC","WE"
127,0,"TB","CON"
128,1340.16932714,"DC","WAND"
129,1332.54719785714,"TB","WE"
130,1453.118160557,"DC","WOWE"
131,0,"TB","WOWE"
132,0,"DC","CON"
133,1352.57331239671,"TB","WAND"
134,723.385407752,"DC","WE"
135,0,"TB","CON"
136,998.779650302,"DC","WAND"
137,302.796971037,"TB","WOWE"
138,0,"DC","CON"
139,2927.43826218157,"TB","WE"
140,345.193845304,"DC","WE"
141,1695.82338800343,"TB","WAND"
142,43.149230663,"DC","WOWE"
143,0,"TB","CON"
144,906.133843923,"DC","WAND"
145,1736.27649257314,"TB","WAND"
146,0,"DC","CON"
147,847.911694001714,"TB","WE"
148,922.632702495,"DC","WOWE"
149,1736.27649257314,"TB","WOWE"
150,215.746153315,"DC","WE"
151,0,"TB","CON"
152,604.089229282,"DC","WAND"
153,0,"TB","CON"
154,819.835382597,"DC","WAND"
155,1957.66540321143,"TB","WE"
156,0,"DC","CON"
157,444.182399285714,"TB","WOWE"
158,388.343075967,"DC","WE"
159,4734.15654324943,"TB","WAND"
160,862.98461326,"DC","WOWE"
161,1332.54719785714,"TB","WE"
162,799.532355559,"DC","WE"
163,0,"TB","CON"
164,766.534638415,"DC","WOWE"
165,6127.18296021586,"TB","WAND"
166,0,"DC","CON"
167,1332.54719785714,"TB","WOWE"
168,302.044614641,"DC","WE"
171,2866.95904307229,"TB","WAND"
178,258.895383978,"DC","WE"
180,1927.75969785,"DC","WAND"
182,895.982330404,"DC","WE"
184,1078.730766575,"DC","WOWE"
190,765.113084629555,"DC","WE"
192,0,"DC","CON"
194,3533.171754021,"DC","WOWE"
196,474.641537293,"DC","WE"
302,1516.570418258,"DC","WOWE"
304,0,"DC","CON"
