flat,pid,num.seeds,num.sprouted,prop.sprouted,pod.id,poll.status
1,121,12,7,0.5833333333,,
1,85,12,11,0.9166666667,,
1,79,12,5,0.4166666667,,
1,75,12,2,0.1666666667,,
1,47,12,0,0,,
1,37,12,1,0.08333333333,,
1,45,12,3,0.25,,
2,162,12,5,0.4166666667,,
2,194,12,2,0.1666666667,,
2,72,12,4,0.3333333333,,
2,58,12,4,0.3333333333,,
2,100,12,2,0.1666666667,,
2,56,11,3,0.2727272727,,
2,50,10,1,0.1,,
2,82,12,1,0.08333333333,,
3,25,12,1,0.08333333333,,
3,5,12,9,0.75,,
3,115,12,8,0.6666666667,,
3,77,12,3,0.25,,
3,135,12,7,0.5833333333,,
3,139,12,3,0.25,,
3,161,12,9,0.75,,
3,165,12,8,0.6666666667,,
4,52,12,7,0.5833333333,,
4,60,11,3,0.2727272727,,
4,116,11,7,0.6363636364,,
4,180,11,2,0.1818181818,,
4,44,12,1,0.08333333333,,
4,26,6,0,0,,
4,14,12,1,0.08333333333,,
4,178,12,0,0,,
5,87,12,6,0.5,,
5,91,12,0,0,,
5,167,12,7,0.5833333333,,
5,163,12,4,0.3333333333,,
5,63,12,3,0.25,,
5,83,12,1,0.08333333333,,
5,33,12,6,0.5,,
5,69,12,2,0.1666666667,,
6,40,11,2,0.1818181818,,
6,96,12,8,0.6666666667,,
6,184,10,3,0.3,,
6,88,12,4,0.3333333333,,
6,34,12,2,0.1666666667,,
6,74,9,3,0.3333333333,,
6,138,11,4,0.3636363636,,
7,123,12,9,0.75,,
7,125,12,7,0.5833333333,,
7,143,12,4,0.3333333333,,
7,101,12,7,0.5833333333,,
7,133,12,10,0.8333333333,,
7,129,12,6,0.5,,
7,131,12,10,0.8333333333,,
7,103,12,6,0.5,,
8,48,12,5,0.4166666667,,
8,302,12,4,0.3333333333,,
8,182,12,5,0.4166666667,,
8,98,11,6,0.5454545455,,
8,68,11,8,0.7272727273,,
8,66,12,7,0.5833333333,,
8,164,11,7,0.6363636364,,
8,86,10,1,0.1,,
9,151,12,4,0.3333333333,,
9,9,12,0,0,,
9,107,12,10,0.8333333333,,
9,99,12,10,0.8333333333,,
9,39,12,0,0,,
9,89,12,9,0.75,,
9,59,12,7,0.5833333333,,
9,105,12,11,0.9166666667,,
10,126,12,6,0.5,,
10,192,12,1,0.08333333333,,
10,148,12,8,0.6666666667,,
10,134,12,2,0.1666666667,,
10,124,12,0,0,,
10,154,12,0,0,,
10,120,12,4,0.3333333333,,
10,150,12,6,0.5,,
11,117,12,11,0.9166666667,,
11,27,12,5,0.4166666667,,
11,95,12,10,0.8333333333,,
11,29,12,0,0,,
11,159,12,9,0.75,,
11,113,12,9,0.75,,
11,93,12,7,0.5833333333,,
11,71,12,8,0.6666666667,,
12,160,12,4,0.3333333333,,
12,152,12,12,1,,
12,168,12,9,0.75,,
12,130,12,7,0.5833333333,,
12,112,12,2,0.1666666667,,
12,24,12,3,0.25,,
12,64,12,10,0.8333333333,,
13,155,12,11,0.9166666667,,
13,65,12,10,0.8333333333,,
14,166,12,10,0.8333333333,,
14,144,12,0,0,,
14,102,12,0,0,,
14,122,12,1,0.08333333333,,
16,76,12,11,0.9166666667,,
16,94,12,8,0.6666666667,,
16,32,1,0,0,,
16,158,2,0,0,,
16,114,11,4,0.3636363636,,
16,22,1,0,0,,
16,6,12,10,0.8333333333,,
16,46,12,10,0.8333333333,,
18,132,7,3,0.4285714286,,
18,156,10,5,0.5,,
18,10,12,8,0.6666666667,,
18,8,12,0,0,,
18,38,10,6,0.6,,
18,142,3,0,0,,
18,90,8,6,0.75,,
