pid,type,treatment,cid,dev.complete,num.leaf,mongo
1,TB,WAND,1,yes,10,
3,TB,WE,2,yes,7,
5,TB,WOWE,3,yes,7,no
6,DC,WE,10,yes,9,
8,DC,WAND,,yes,30,
11,TB,WAND,5,no,9,
15,TB,WE,6,no,6,
17,TB,WOWE,,yes,10,no
19,TB,WE,,no,8,
178,DC,WE,12,no,8,
184,DC,WOWE,9,no,26,yes
9,TB,WAND,13,yes,11,
14,DC,WOWE,14,yes,9,no
22,DC,WOWE,21,no,28,yes
23,TB,WAND,15,no,6,
25,TB,WOWE,,yes,5,WE
26,DC,WE,22,yes,20,
27,TB,WE,17,yes,4,
29,TB,WOWE,18,yes,20,yes
180,DC,WAND,19,yes,32,
196,DC,WE,20,yes,12,
31,TB,WE,23,yes,10,
194,DC,WOWE,33,yes,41,yes
35,TB,WAND,26,yes,13,
37,TB,WOWE,27,no,15,yes
39,TB,WAND,28,no,10,
41,TB,WE,29,no,7,
43,TB,WOWE,30,no,13,?
171,TB,WAND,31,no,10,
51,TB,WOWE,,no,19,
53,TB,WE,34,no,8,
57,TB,WE,,no,3,
59,TB,WOWE,36,yes,6,WE
61,TB,WAND,37,no,5,
65,TB,WOWE,38,yes,8,no
67,TB,WE,39,no,7,
69,TB,WAND,40,no,4,
73,TB,WAND,,no,7,
75,TB,WE,,yes,6,
77,TB,WOWE,,no,2,
81,TB,WAND,,no,6,
83,TB,WAND,,yes,7,
89,TB,WOWE,,yes,4,WE
91,TB,WE,,yes,6,
95,TB,WAND,,yes,10,
30,DC,WAND,,yes,27,
34,DC,WE,,no,4,
36,DC,WOWE,,no,8,no
40,DC,WE,,no,6,
97,TB,WOWE,,no,12,yes
99,TB,WE,,no,3,
101,TB,WOWE,,yes,12,yes
42,DC,WOWE,,no,2,?
44,DC,WAND,,yes,35,
46,DC,WE,,yes,11,
48,DC,WOWE,,yes,11,no
52,DC,WAND,,yes,36,
182,DC,WE,,yes,17,
56,DC,WAND,,no,13,
58,DC,WOWE,,no,30,yes
62,DC,WE,,yes,32,WAND
103,TB,WE,,no,7,
107,TB,WAND,,yes,12,
109,TB,WOWE,,yes,4,WE
111,TB,WAND,,yes,7,
113,TB,WE,,no,6,
117,TB,WOWE,,no,13,yes
121,TB,WAND,,yes,14,
123,TB,WOWE,,no,6,
125,TB,WE,,yes,7,
129,TB,WE,,yes,4,
64,DC,WAND,,yes,11,
68,DC,WE,,yes,11,
302,DC,WOWE,,yes,29,no
72,DC,WAND,,yes,24,
76,DC,WOWE,,no,42,2BUGS
78,DC,WE,,no,8,
80,DC,WAND,,yes,22,
190,DC,WE,,no,14,
94,DC,WOWE,,no,12,no
100,DC,WOWE,144,yes,29,yes
102,DC,WAND,,yes,15,
108,DC,WOWE,,no,4,
131,TB,WOWE,,no,0,
133,TB,WAND,,yes,11,
137,TB,WOWE,,no,4,?
139,TB,WE,,no,13,2BUGS
141,TB,WAND,,yes,11,
145,TB,WAND,,yes,9,
147,TB,WE,,yes,6,
149,TB,WOWE,,no,8,yes
155,TB,WE,,yes,5,
157,TB,WOWE,,no,2,
159,TB,WAND,,yes,13,
161,TB,WE,,yes,4,
165,TB,WAND,,yes,20,
167,TB,WOWE,,no,8,yes
86,DC,WOWE,,yes,11,no
88,DC,WAND,,yes,16,
114,DC,WOWE,,yes,27,
116,DC,WAND,,yes,29,
118,DC,WE,,yes,6,
120,DC,WOWE,,yes,30,yes
124,DC,WAND,,yes,40,
126,DC,WE,,yes,11,
128,DC,WAND,,yes,13,
130,DC,WOWE,,no,20,yes
136,DC,WAND,,yes,18,
140,DC,WE,,yes,9,
142,DC,WOWE,,no,2,
144,DC,WAND,,yes,22,
148,DC,WOWE,,no,20,
152,DC,WAND,,yes,15,
154,DC,WAND,,yes,20,
158,DC,WE,,yes,10,
160,DC,WOWE,,no,20,
162,DC,WE,,yes,11,
87,TB,WE,,yes,6,
98,DC,WE,,yes,11,
106,DC,WE,,no,5,
112,DC,WE,,yes,9,
134,DC,WE,,yes,13,
164,DC,WOWE,,no,14,
168,DC,WE,,yes,8,
92,DC,WE,,yes,6,
150,DC,WE,,no,7,
304,DC,CON,,yes,0,
10,DC,CON,,yes,0,
18,DC,CON,,yes,0,
24,DC,CON,,yes,0,
32,DC,CON,,yes,0,
38,DC,CON,,yes,0,
50,DC,CON,,yes,0,
60,DC,CON,,yes,0,
66,DC,CON,,yes,0,
74,DC,CON,,yes,0,
82,DC,CON,,yes,0,
90,DC,CON,,yes,0,
96,DC,CON,,yes,0,
192,DC,CON,,yes,0,
110,DC,CON,,yes,0,
122,DC,CON,,yes,0,
132,DC,CON,,yes,0,
138,DC,CON,,yes,0,
146,DC,CON,,yes,0,
156,DC,CON,,yes,0,
166,DC,CON,,yes,0,
7,TB,CON,,yes,0,
13,TB,CON,,yes,0,
21,TB,CON,,yes,0,
33,TB,CON,,yes,0,
45,TB,CON,,yes,0,
47,TB,CON,,yes,0,
55,TB,CON,,yes,0,
63,TB,CON,,yes,0,
71,TB,CON,,yes,0,
79,TB,CON,,yes,0,
85,TB,CON,,yes,0,
93,TB,CON,,yes,0,
105,TB,CON,,yes,0,
115,TB,CON,,yes,0,
119,TB,CON,,yes,0,
127,TB,CON,,yes,0,
135,TB,CON,,yes,0,
143,TB,CON,,yes,0,
151,TB,CON,,yes,0,
153,TB,CON,,yes,0,
163,TB,CON,,yes,0,
