plant.type,position,ID,date,time,leaf.area,notes,image,calibrrated.image
DC,B,1,9/10/22,12.55,236.3780664,,anna_scan\09-10-2022.12.55CatIDDCLeafIDB.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,B,2,9/10/22,12.65,84.2388022,,anna_scan\09-10-2022.12.65CatIDDCLeafIDB.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,B,3,9/10/22,12.65,134.3448769,,anna_scan\09-10-2022.12.65CatIDDCLeafIDB.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,B,4,9/10/22,12.667,137.0332658,,anna_scan\09-10-2022.12.667CatIDDCLeafIDB.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,B,5,9/10/22,12.667,174.0035191,,anna_scan\09-10-2022.12.667CatIDDCLeafIDB.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,B,6,9/10/22,12.683,171.7900135,,anna_scan\09-10-2022.12.683CatIDDCLeafIDB.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,B,7,9/10/22,12.683,77.09592948,,anna_scan\09-10-2022.12.683CatIDDCLeafIDB.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,B,8,9/10/22,12.683,122.9202052,,anna_scan\09-10-2022.12.683CatIDDCLeafIDB.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,B,9,9/10/22,12.7,162.9202924,,anna_scan\09-10-2022.12.7CatIDDCLeafIDB.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,M,1,9/10/22,12.7,132.0646522,,anna_scan\09-10-2022.12.7CatIDDCLeafIDM.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,M,2,9/10/22,12.717,126.8998057,,anna_scan\09-10-2022.12.717CatIDDCLeafIDM.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,M,3,9/10/22,12.717,51.50717667,,anna_scan\09-10-2022.12.717CatIDDCLeafIDM.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,M,4,9/10/22,12.717,131.2169266,,anna_scan\09-10-2022.12.717CatIDDCLeafIDM.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,M,5,9/10/22,12.717,191.7743585,,anna_scan\09-10-2022.12.717CatIDDCLeafIDM.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,M,6,9/10/22,12.733,204.1213242,,anna_scan\09-10-2022.12.733CatIDDCLeafIDM.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,M,7,9/10/22,12.733,101.2914296,,anna_scan\09-10-2022.12.733CatIDDCLeafIDM.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,M,8,9/10/22,12.733,65.71050434,,anna_scan\09-10-2022.12.733CatIDDCLeafIDM.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,M,9,9/10/22,12.733,258.120657,,anna_scan\09-10-2022.12.733CatIDDCLeafIDM.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,M,10,9/10/22,12.767,196.7586708,,anna_scan\09-10-2022.12.767CatIDDCLeafIDM.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,T,1,9/10/22,12.767,106.7388513,,anna_scan\09-10-2022.12.767CatIDDCLeafIDT.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,T,2,9/10/22,12.767,35.37684323,,anna_scan\09-10-2022.12.767CatIDDCLeafIDT.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,T,3,9/10/22,12.783,33.10446778,,anna_scan\09-10-2022.12.783CatIDDCLeafIDT.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,T,4,9/10/22,12.783,26.2834168,,anna_scan\09-10-2022.12.783CatIDDCLeafIDT.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,T,5,9/10/22,12.783,45.03934467,,anna_scan\09-10-2022.12.783CatIDDCLeafIDT.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,T,6,9/10/22,12.783,34.51734371,,anna_scan\09-10-2022.12.783CatIDDCLeafIDT.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,T,7,9/10/22,12.8,63.47737545,,anna_scan\09-10-2022.12.8CatIDDCLeafIDT.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,T,8,9/10/22,12.8,16.3893607,,anna_scan\09-10-2022.12.8CatIDDCLeafIDT.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,T,9,9/10/22,12.8,40.52599103,,anna_scan\09-10-2022.12.8CatIDDCLeafIDT.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
DC,T,10,9/10/22,12.8,30.03931196,,anna_scan\09-10-2022.12.8CatIDDCLeafIDT.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
TB,B,1,9/10/22,12.817,541.6416833,,anna_scan\09-10-2022.12.817CatIDTBLeafIDB.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
TB,B,2,9/10/22,12.817,600.6449517,,anna_scan\09-10-2022.12.817CatIDTBLeafIDB.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
TB,B,3,9/10/22,12.833,525.9666099,,anna_scan\09-10-2022.12.833CatIDTBLeafIDB.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
TB,B,4,9/10/22,12.833,436.3981258,,anna_scan\09-10-2022.12.833CatIDTBLeafIDB.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
TB,B,5,9/10/22,12.833,568.6001409,,anna_scan\09-10-2022.12.833CatIDTBLeafIDB.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
TB,M,1,9/10/22,12.85,447.3636128,,anna_scan\09-10-2022.12.85CatIDTBLeafIDM.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
TB,M,2,9/10/22,12.85,413.7136179,,anna_scan\09-10-2022.12.85CatIDTBLeafIDM.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
TB,M,3,9/10/22,12.867,380.3815201,,anna_scan\09-10-2022.12.867CatIDTBLeafIDM.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
TB,M,4,9/10/22,12.867,533.3488866,,anna_scan\09-10-2022.12.867CatIDTBLeafIDM.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
TB,M,5,9/10/22,12.867,443.1092864,,anna_scan\09-10-2022.12.867CatIDTBLeafIDM.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
TB,M,6,9/10/22,12.883,436.6728516,,anna_scan\09-10-2022.12.883CatIDTBLeafIDM.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
TB,M,7,9/10/22,12.883,454.6870196,,anna_scan\09-10-2022.12.883CatIDTBLeafIDM.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
TB,T,1,9/10/22,12.9,82.72388523,,anna_scan\09-10-2022.12.9CatIDTBLeafIDT.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
TB,T,2,9/10/22,12.9,122.5944588,,anna_scan\09-10-2022.12.9CatIDTBLeafIDT.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
TB,T,3,9/10/22,12.9,31.02440045,,anna_scan\09-10-2022.12.9CatIDTBLeafIDT.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
TB,T,4,9/10/22,12.917,88.30866978,,anna_scan\09-10-2022.12.917CatIDTBLeafIDT.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
TB,T,5,9/10/22,12.917,93.60695449,,anna_scan\09-10-2022.12.917CatIDTBLeafIDT.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
TB,T,6,9/10/22,12.917,185.4792113,,anna_scan\09-10-2022.12.917CatIDTBLeafIDT.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
TB,T,7,9/10/22,12.933,161.4642453,,anna_scan\09-10-2022.12.933CatIDTBLeafIDT.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
TB,T,8,9/10/22,12.933,43.60684547,,anna_scan\09-10-2022.12.933CatIDTBLeafIDT.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
TB,T,9,9/10/22,12.95,157.6102338,,anna_scan\09-10-2022.12.95CatIDTBLeafIDT.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
TB,T,10,9/10/22,12.95,42.90433217,,anna_scan\09-10-2022.12.95CatIDTBLeafIDT.png,anna_scan\09-10-2022.12.55CalibratedCropped.png
