pid,mature,spod.damaged,moldy,kept,date.chamber,date.dry,notes,date.mass,pod.1.mass,pod.2.mass,pod.3.mass,pod.4.mass,pod.5.mass,pod.avg,holes?,,Fields
5,yes,all,yes,yes,10/01/2021,,,12/20/21,147.8,182.8,73.8,30.7,203.5,127.72,yes,,spod.damaged: all/some/none
9,maybe,none,yes,yes,10/01/2021,,,12/20/21,63.2,69.2,87.3,,,73.23333333,some,,moldy: yes/no
19,no,none,yes,no,,,,,,,,,,,,,mature: yes/no
21,no,yes,yes,no,,,,,,,,,,,,,kept: yes/no
23,yes,all,yes,no,,,,,,,,,,,,,
25,yes,none,no,yes,10/01/2021,,,12/20/21,157.5,199.1,170.6,180.5,97.4,161.02,no,,
27,yes,some,yes,yes,10/01/2021,,,12/20/2021,149.8,102.5,212.7,185.3,218.2,173.7,yes,,
29,yes,some,yes,yes,10/01/2021,,,12/20/21,55.1,73.1,64.8,78.4,65.9,67.46,yes,,
31,no,,,no,,,,,,,,,,,,,
33,yes,some,yes,yes,10/01/2021,,,12/20/21,256.7,257.9,170.4,139.4,99.6,184.8,some,,
37,yes,some,yes,yes,10/01/2021,,,12/20/21,237.6,170.6,193.9,209.3,56.2,173.52,some,,
39,yes,all,yes,yes,10/01/2021,,,12/20/21,43.9,51.8,50.7,66.2,53.9,53.3,yes,,
45,yes,some,yes,yes,10/01/2021,,,12/20/21,108.5,142.7,69.8,57.7,80.5,91.84,yes,,
47,yes,all,yes,yes,10/01/2021,,,12/20/21,42.3,50.9,36.1,40.8,,42.525,yes,,
51,no,none,yes,no,,,,,,,,,,,,,
53,no,,,no,,,,,,,,,,,,,
55,no,none,no,no,,,,,,,,,,,,,
57,yes,all,yes,yes,10/15/2021,,,1/17/22,296.9,257.1,341.9,187.2,276.8,271.98,no,,
59,no,some,no,yes,10/01/2021,,,12/20/21,144.4,122.6,46.2,76.5,47,87.34,some,,
61,no,some,no,yes,10/15/2021,,,,,,,,,,,,
63,yes,some,no,yes,10/01/2021,,,12/20/21,223.7,139.7,133.6,226.6,183.4,181.4,no,,
65,yes,some,no,yes,10/01/2021,,seeds sprouted,12/20/21,159.1,110.5,213.7,75.8,146.4,141.1,some,,
67,no,,,no,,,,,,,,,,,,,
69,yes,some,yes,yes,10/01/2021,,,12/20/21,111.8,203.2,191.6,150.8,154.3,162.34,no,,
71,yes,none,yes,yes,10/01/2021,,,1/17/22,357.3,251.2,294.5,311,223.9,287.58,no,,
73,no,,,no,,,,,,,,,,,,,
75,yes,some,yes,yes,10/01/2021,,,12/20/21,186,77.3,58.6,180.9,141.9,128.94,some,,
77,yes,some,yes,yes,10/15/2021,,,1/17/22,200.3,152.9,124.6,139.2,224.3,168.26,no,,
79,yes,some,yes,yes,10/01/2021,,,12/20/21,157.8,212.3,198.6,150.3,180.6,179.92,no,,
83,yes,some,no,yes,10/01/2021,,,12/20/21,112.8,124.4,114.5,111.5,76.9,108.02,no,,
85,yes,some,no,yes,10/01/2021,,,12/20/21,331,250.5,197.4,185.4,135.8,220.02,no,,
87,yes,some,no,yes,10/01/2021,,,12/20/21,164.2,60.3,246.9,171.9,87.1,146.08,no,,
89,yes,none,no,yes,10/01/2021,,,1/17/22,218,251.2,299.6,304.1,270.3,268.64,no,,
91,yes,some,no,yes,10/01/2021,,,12/20/21,253.5,105.7,220.1,68.5,66.4,142.84,some,,
93,yes,some,yes,yes,10/01/2021,,,12/20/2021,199.7,247.4,45.8,69.1,62.3,124.86,some,,
95,yes,some,yes,yes,10/01/2021,,,12/20/2021,222.6,213.9,275.9,252.8,288.8,250.8,some,,
97,no,,,no,,,,,,,,,,,,,
99,yes,some,no,yes,10/01/2021,,,1/17/22,116.1,192.1,171.4,120.6,127.9,145.62,no,,
101,yes,none,no,yes,10/15/2021,,,1/17/22,251.6,273.9,375.2,356.8,301.3,311.76,no,,
103,yes,some,no,yes,10/15/2021,,,1/17/22,239.6,291.3,333.4,336.5,333.9,306.94,no,,
105,yes,some,no,yes,10/15/2021,,,1/17/22,180.2,110.1,50.5,46.5,166.7,110.8,all,,
107,yes,some,no,yes,10/15/2021,,,1/17/22,264.2,141.7,196.4,76.8,57.8,147.38,some,,
109,no,none,no,no,,,,,,,,,,,,,
113,yes,some,no,yes,10/15/2021,,,1/17/22,335.6,248.9,287.2,244.5,346.7,292.58,no,,
115,yes,none,no,yes,10/01/2021,,,1/17/22,359.6,345.7,344.4,325.7,296.7,334.42,,,
117,yes,some,no,yes,10/01/2021,,,1/17/22,298.4,289.2,181.2,287.6,281.3,267.54,no,,
121,yes,some,no,yes,10/01/2021,,,12/20/21,249.3,288.8,103.4,150.8,272.8,213.02,some,,
123,yes,no,no,yes,10/29/2021,,,1/17/22,82.5,107.4,96.2,85.1,63.2,86.88,no,,
125,yes,none,yes,yes,10/29/2021,,,1/17/22,247.6,297.4,310.4,302.2,261.3,283.78,no,,
127,no,some,yes,no,,,,,,,,,,,,,
129,yes,no,yes,yes,10/29/2021,,,1/17/22,313.4,366.6,291.5,338.1,323.7,326.66,no,,
131,yes,some,yes,yes,10/29/2021,,kept some but not all,1/17/22,319,258.1,266.1,318.8,298.5,292.1,no,,
133,yes,some,yes,yes,10/29/2021,,kept some but not all,1/17/22,237.4,312.2,369.9,304.8,357.8,316.42,no,,
135,yes,no,yes,yes,10/29/2021,,kept some but not all,1/17/22,351.9,378.2,404.5,384.8,412.7,386.42,no,,
137,no,some,yes,no,,,,,,,,,,,,,
139,yes,some,no,yes,10/29/2021,,,1/17/22,271.6,153,237.5,167.5,190.3,203.98,no,,
141,yes,no,yes,no,,,,,,,,,,,,,
143,yes,some,yes,yes,10/29/2021,,,1/17/22,222.8,303.5,260.6,261.2,253.3,260.28,no,,
147,no,none,no,yes,10/15/2021,,,,,,,,,,,,
149,no,none,no,yes,10/15/2021,,,,,,,,,,,,
