date,cid,pid,num.leaf,position,exit
07/09/2021,001,1,1,M,
07/09/2021,002,3,1,T,
07/11/2021,001,1,2,M,
07/11/2021,002,3,1,T,
7/12/21,001,1,4,M,
7/12/21,002,3,2,T,
7/12/21,003,5,1,B,
7/12/21,010,6,1,T,
7/12/21,011,8,not found today,,
7/12/21,005,11,1,M,
7/12/21,006,15,1,B,
7/12/21,007,17,1,,
7/12/21,008,19,3,T,
7/12/21,012,178,2,T,
7/12/21,009,184,1,T,
07/13/2021,001,1,4,M,
07/13/2021,002,3,2,T,
07/13/2021,003,5,1,B,
07/13/2021,010,6,1,T,
07/13/2021,011,8,gone,,07/13/2021
07/13/2021,005,11,1,M,
07/13/2021,006,15,1,B,
07/13/2021,007,17,not found today,,
07/13/2021,008,19,3,T,
07/13/2021,012,178,2,T,
07/13/2021,009,184,1,T,
07/15/2021,001,1,5,T,
07/15/2021,002,3,3,T,
07/15/2021,003,5,3,M,
07/15/2021,010,6,3,M,
07/15/2021,013,9,2,T,
07/15/2021,005,11,3,T,
07/15/2021,014,14,2,T,
07/15/2021,006,15,2,M,
07/15/2021,007,17,gone,,07/15/2021
07/15/2021,008,19,5,M,
07/15/2021,021,22,1,,
07/15/2021,015,23,1,T,
07/15/2021,016,25,1,T,
07/15/2021,022,26,1,T,
07/15/2021,017,27,1,B,
07/15/2021,018,29,2,M,
07/15/2021,012,178,4,T,
07/15/2021,019,180,not found today,,
07/15/2021,009,184,2,T,
07/15/2021,020,196,1,T,
07/17/2021,001,1,10,M,(Not found)
07/17/2021,002,3,6,M,
07/17/2021,003,5,3,M,
07/17/2021,010,6,5,M,
07/17/2021,013,9,4,T,
07/17/2021,005,11,8,B,
07/17/2021,014,14,2,T,
07/17/2021,006,15,3,M,
07/17/2021,008,19,7,M,
07/17/2021,021,22,1,,
07/17/2021,015,23,2,M,
07/17/2021,016,25,Dead,,07/17/2021
07/17/2021,022,26,2,T,
07/17/2021,017,27,2,B,
07/17/2021,018,29,3,M,
07/17/2021,023,31,1,M,
07/17/2021,012,178,5,,NOT FOUND
07/17/2021,019,180,4,T,
07/17/2021,009,184,4,T,
07/17/2021,020,196,3,T,
07/18/2021,001,1,gone,,07/18/2021
07/18/2021,002,3,7,M,
07/18/2021,003,5,3,M,
07/18/2021,010,6,5,M,
07/18/2021,013,9,4,T,
07/18/2021,005,11,9,M,NOT FOUND
07/18/2021,014,14,4,T,
07/18/2021,006,15,4,M,
07/18/2021,008,19,8,M,
07/18/2021,021,22,1,T,
07/18/2021,015,23,2,M,
07/18/2021,022,26,4,T,
07/18/2021,017,27,3,M,
07/18/2021,018,29,4,M,
07/18/2021,023,31,2,T,
07/18/2021,012,178,5,T,
07/18/2021,019,180,5,T,
07/18/2021,009,184,4,T,
07/18/2021,020,196,3,T,
07/20/2021,002,3,WE,,7/20/2021
07/20/2021,003,5,4,M,
07/20/2021,010,6,6,M,
07/20/2021,013,9,7,T,
07/20/2021,005,11,gone,,7/20/2021
07/20/2021,014,14,5,T,
07/20/2021,006,15,5,T,
07/20/2021,021,22,3,T,
07/20/2021,015,23,5,T,
07/20/2021,022,26,6,T,
07/20/2021,017,27,3,M,
07/20/2021,018,29,5,T,
07/20/2021,023,31,3,T,
07/20/2021,012,178,7,T,
07/20/2021,019,180,7,T,
07/20/2021,009,184,5,T,
07/22/2021,,184,6,T,
07/22/2021,,5,3,M,
07/22/2021,,6,9,T,
07/22/2021,,9,11,M,
07/22/2021,,178,8,T,
07/22/2021,,14,6,T,
07/22/2021,,15,6,T,
07/22/2021,,180,6,T,
07/22/2021,,19,4,M,
07/22/2021,,196,7,T,
07/22/2021,,22,4,T,
07/22/2021,,23,6,M,
07/22/2021,,25,1,T,
07/22/2021,,26,9,T,
07/22/2021,,27,1,B,
07/22/2021,,194,2,T,
07/22/2021,,29,6,T,
07/22/2021,,31,3,T,
07/22/2021,,35,3,T,
07/22/2021,,37,1,M,
07/22/2021,,39,1,T,
07/22/2021,,41,2,T,
07/22/2021,,43,1,T,
07/22/2021,,171,2,T,
07/22/2021,,51,not found,,
07/23/2021,009,184,7,T,
07/23/2021,003,5,3,M,
07/23/2021,010,6,9,T,07/23/2021
07/23/2021,013,9,gone,,07/23/2021
07/23/2021,014,14,6,T,
07/23/2021,019,180,7,T,
07/23/2021,020,186,8,T,
07/23/2021,021,22,4,T,
07/23/2021,015,23,not found,,
07/23/2021,016,25,not found,,
07/23/2021,022,26,3,T,
07/23/2021,017,27,3,M,
07/23/2021,033,194,2,T,
07/23/2021,018,29,6,T,
07/23/2021,023,31,4,T,
07/23/2021,026,35,4,M,
07/23/2021,027,37,3,T,
07/23/2021,028,39,3,M,
07/23/2021,029,41,3,T,
07/23/2021,030,43,2,T,
07/23/2021,031,171,2,T,
07/23/2021,032,51,gone,,07/23/2021
07/23/2021,034,53,1,M,
07/23/2021,035,57,1,M,
07/23/2021,036,59,1,T,
07/23/2021,037,61,1,T,
07/23/2021,038,65,1,T,
07/23/2021,039,67,1,T,
07/23/2021,040,69,1,T,
07/24/2021,,184,12,T,
07/24/2021,,5,3,M,
07/24/2021,,14,6,T,
07/24/2021,,180,18,T,
07/24/2021,,17,4,T,
07/24/2021,,196,12,T,
07/24/2021,,22,6,T,
07/24/2021,,25,1,T,
07/24/2021,,26,14,M,
07/24/2021,,27,4,M,
07/24/2021,,194,3,T,
07/24/2021,,29,6,T,
07/24/2021,,31,7,T,
07/24/2021,,35,5,M,
07/24/2021,,37,5,T,
07/24/2021,,39,4,M,
07/24/2021,,41,4,T,
07/24/2021,,43,1,T,
07/24/2021,,171,4,M,
07/24/2021,,51,1,T,
07/24/2021,,53,1,M,
07/24/2021,,57,2,M,
07/24/2021,,59,2,T,
07/24/2021,,61,1,T,
07/24/2021,,65,2,M,
07/24/2021,,67,2,M,
07/24/2021,,69,1,M,
07/24/2021,,73,2,T,
07/24/2021,,75,1,T,
07/24/2021,,77,2,T,
07/24/2021,,81,1,T,
07/24/2021,,83,1,T,
07/24/2021,,89,1,T,
07/24/2021,,91,1,T,
07/24/2021,,95,2,M,
07/25/2021,,184,15,T,
07/25/2021,,5,4,M,
07/25/2021,,14,6,T,
07/25/2021,,180,20,T,
07/25/2021,,17,5,M,
07/25/2021,,196,12,T,
07/25/2021,,22,11,T,
07/25/2021,,23,Not Found ,,
07/25/2021,,25,2,T,
07/25/2021,,26,15,M,
07/25/2021,,27,4,M,
07/25/2021,,194,3,T,
07/25/2021,,29,7,T,
07/25/2021,,30,2,T,
07/25/2021,,31,9,T,
07/25/2021,,34,1,M,
07/25/2021,,35,11,M,
07/25/2021,,36,2,T,
07/25/2021,,37,6,T,
07/25/2021,,39,5,T,
07/25/2021,,40,1,T,
07/25/2021,,41,4,T,
07/25/2021,,43,4,Not Recorded,
07/25/2021,,171,5,M,
07/25/2021,,51,3,T,
07/25/2021,,53,2,T,
07/25/2021,,57,3,M,
07/25/2021,,59,2,T,
07/25/2021,,61,2,T,
07/25/2021,,65,3,M,
07/25/2021,,67,3,T,
07/25/2021,,69,1,M,
07/25/2021,,73,3,M,
07/25/2021,,75,2,T,
07/25/2021,,77,Dead,,07/25/2021
07/25/2021,,81,2,T,
07/25/2021,,83,2,M,
07/25/2021,,89,1,M,
07/25/2021,,91,2,M,
07/25/2021,,95,3,M,
07/25/2021,,97,Not found,,
07/25/2021,,99,Not found,,
07/25/2021,,101,1,T,
07/26/2021,,184,16,T,
07/26/2021,,5,5,M,
07/26/2021,,14,8,T,
07/26/2021,,180,25,M,
07/26/2021,,17,5,M,
07/26/2021,,196,WE,,07/26/2021
07/26/2021,,22,12,T,
07/26/2021,,23,Not Found,,
07/26/2021,,25,2,T,
07/26/2021,,26,20,T,
07/26/2021,,27,WE,,07/26/2021
07/26/2021,,194,5,T,
07/26/2021,,29,10,T,
07/26/2021,,30,1,T,
07/26/2021,,31,10,T,
07/26/2021,,34,1,M,
07/26/2021,,35,11,M,
07/26/2021,,36,1,T,
07/26/2021,,37,8,T,
07/26/2021,,39,8,T,
07/26/2021,,40,12,T,
07/26/2021,,41,4,T,
07/26/2021,,42,Not found,,
07/26/2021,,43,5,T,
07/26/2021,,44,2,T,
07/26/2021,,46,2,M,
07/26/2021,,48,1,T,
07/26/2021,,171,8,M,
07/26/2021,,51,3,T,
07/26/2021,,52,1,M,
07/26/2021,,53,2,T,
07/26/2021,,182,1,T,
07/26/2021,,56,1,T,
07/26/2021,,57,Died,,07/26/2021
07/26/2021,,58,Not Found,,
07/26/2021,,59,3,T,
07/26/2021,,61,3,T,
07/26/2021,,62,2,T,
07/26/2021,,65,5,T,
07/26/2021,,67,6,M,
07/26/2021,,69,3,T,
07/26/2021,,73,3,M,
07/26/2021,,75,1,T,
07/26/2021,,81,2,T,
07/26/2021,,83,2,M,
07/26/2021,,89,2,T,
07/26/2021,,91,3,M,
07/26/2021,,95,2,B,
07/26/2021,,97,1,M,
07/26/2021,,99,1,B,
07/26/2021,,101,1,T,
07/26/2021,,103,Dead,,07/26/2021
07/26/2021,,107,1,T,
07/26/2021,,109,1,M,
07/26/2021,,111,1,T,
07/26/2021,,113,Dead,,07/26/2021
07/26/2021,,117,1,T,
07/26/2021,,121,1,M,
07/26/2021,,123,1,T,
07/26/2021,,125,1,T,
07/26/2021,,129,Dead,,07/26/2021
07/27/2021,,184,20,T,
07/27/2021,,5,5,M,
07/27/2021,,14,9,T,
07/27/2021,,180,24,T,
07/27/2021,,17,7,T,
07/27/2021,,22,13,T,
07/27/2021,,23,not found,,
07/27/2021,,25,3,T,
07/27/2021,,26,WE,,07/27/2021
07/27/2021,,194,6,T,
07/27/2021,,29,11,T,
07/27/2021,,30,2,not recorded,
07/27/2021,,31,WE,,07/27/2021
07/27/2021,,34,1,M,
07/27/2021,,35,13,M,
07/27/2021,,36,2,T,
07/27/2021,,37,13,T,
07/27/2021,,39,8,T,
07/27/2021,,40,3,T,
07/27/2021,,41,7,M,
07/27/2021,,42,not found,,
07/27/2021,,43,7,T,
07/27/2021,,44,4,T,
07/27/2021,,46,3,not recorded,
07/27/2021,,48,1,T,
07/27/2021,,171,10,M,
07/27/2021,,51,4,M,
07/27/2021,,52,3,T,
07/27/2021,,53,3,M,
