date,PID,num.flowers,pollen.pid,condition,bee pollinated?,spodoptera damage?
7/11,184,1,22,D,,
7/11,8,1,180,,,
7/11,178,1,40,,,
7/11,180,1,8,,,
7/11,22,1,184,D,,
7/11,30,1,72,,,
7/11,34,4,68,,,
7/11,36,2,42,D,,
7/11,40,1,178,D,,
7/11,42,1,36,,,
7/11,50,1,60,,,
7/11,58,1,86,,,
7/11,60,1,50,D,,
7/11,66,1,74,D,,
7/11,68,2,34,,,
7/11,72,1,30,D,,
7/11,74,2,66,,,
7/11,82,1,90,,,
7/11,190,1,98,D,,
7/11,86,1,58,,,
7/11,88,2,116,D,,
7/11,90,1,82,,,
7/11,98,1,190,,,
7/11,100,1,108,,,
7/11,108,2,100,,,
7/11,116,1,88,D,,
7/11,122,2,122,D,,
7/11,136,1,144,D,,
7/11,142,2,164,,,
7/11,144,1,136,D,,
7/11,150,2,162,D,,
7/11,162,1,150,,,
7/11,164,3,142,,,
7/12,178,1,26,,,
7/12,26,1,178,D,,
7/12,30,1,52,,,
7/12,32,1,60,D,,
7/12,42,1,48,D,,
7/12,48,2,42,D,,
7/12,52,1,30,D,,
7/12,56,1,64,D,,
7/12,58,4,86,,,
7/12,60,1,32,D,,
7/12,62,1,68,D,,
7/12,64,3,56,,,
7/12,68,2,62,,,
7/12,74,1,82,,,
7/12,82,1,74,D,,
7/12,86,2,58,D,,
7/12,88,1,124,D,,
7/12,102,1,144,D,,
7/12,124,1,85,D,,
7/12,132,1,156,,,
7/12,144,2,102,D,,
7/12,156,1,132,D,,
7/13,10,1,18,D,,
7/13,178,2,34,,,
7/13,18,1,10,D,,
7/13,30,1,72,,,
7/13,34,3,178,,,
7/13,182,1,68,D,,
7/13,60,1,74,D,,
7/13,68,2,182,,,
7/13,72,1,30,D,,
7/13,74,2,60,,,
7/13,96,2,146,,,
7/13,100,1,130,D,,
7/13,106,2,112,D,,
7/13,112,1,106,D,,
7/13,124,3,144,D,,
7/13,126,1,134,D,,
7/13,130,1,100,D,,
7/13,134,1,126,D,,
7/13,136,1,144,D,,
7/13,144,2,124,D,,
7/13,146,1,156,D,,
7/13,150,1,158,D,,
7/13,156,1,146,D,,
7/13,158,1,150,D,,
7/13,160,1,164,D,,
7/13,164,3,160,,,
7/14,6,1,196,D,,
7/14,178,2,68,,,
7/14,18,1,108,D,,
7/14,196,1,6,D,,
7/14,22,1,48,D,,
7/14,24,1,146,D,,
7/14,30,4,64,,,
7/14,44,1,88,D,,
7/14,46,2,78,D,,
7/14,48,2,22,D,,
7/14,52,1,56,D,,
7/14,56,1,52,D,,
7/14,58,1,164,,,
7/14,64,2,30,,,
7/14,68,1,178,,,
7/14,78,2,126,,,
7/14,80,2,44,D,,
7/14,88,2,80,D,,
7/14,108,2,18,D,,
7/14,124,1,128,D,,
7/14,126,2,46,D,,
7/14,128,2,124,D,,
7/14,130,1,164,D,,
7/14,146,2,24,D,,
7/14,148,1,164,D,,
7/14,164,2,58,,,
7/15,2,1,38,D,,
7/15,8,1,30,D,,
7/15,178,2,34,,,
7/15,30,1,44,,,
7/15,34,4,68,,,
7/15,38,3,2,D,,
7/15,44,1,30,D,,
7/15,58,3,164,,,
7/15,62,2,68,D,,
7/15,64,3,124,,,
7/15,68,4,178,,,
7/15,74,3,22,,,
7/15,78,2,162,,,
7/15,80,2,102,D,,
