pid,pod.id,dry.date,poll.status,length.dry,tot.num.seeds,num.m.seeds,notes
6,01,col.date,unmarked,56.11,66,66,wet
8,01,coll.date,unmarked,48.1,38,35,
8,02,coll.date,deformed,54.45,53,53,
8,03,coll.date,pollinated,42.78,25,15,
8,04,coll.date,unmarked,37.17,4,4,
10,16,col.date,unmarked,56.8,41,41,
14,03,09/22/2021,deformed,,38,38,
14,12,col.date,unmarked,54.27,60,60,
14,13,col.date,unmarked,55.65,65,65,
18,02,09/22/2021,unmarked,43.76,58,58,wet and moldy
18,01,col.date,deformed,45.69,40,29,5 sprouted 9/24
22,02,09/22/2021,unmarked,45.65,53,53,
22,03,col.date,unmarked,51.16,30,30,
22,04,col.date,deformed,67.1,53,53,wet
24,03,09/22/2021,unmarked,47.76,45,45,wet
24,04,col.date,deformed,53.99,60,60,wet
24,05,col.date,unmarked,48.16,58,58,wet
26,01,col.date,deformed,49.78,72,68,4 sprouted 9/22
32,01,col.date,deformed,25.04,2,2,
34,01,col.date,pollinated,37.79,32,32,
34,02,col.date,unmarked,44.52,39,39,
34,03,col.date,bee,33.23,7,7,
34,04,col.date,pollinated,39.91,39,39,
34,05,col.date,pollinated,43.68,39,39,
34,06,col.date,unmarked,51.89,39,39,
34,07,col.date,unmarked,31.25,22,22,
34,08,col.date,unmarked,43.66,45,45,
38,15,col.date,unmarked,40.84,25,25,some fell out
38,16,col.date,deformed,49,73,73,wet
40,01,col.date,deformed,42.34,35,35,
40,02,col.date,deformed,35.26,19,14,
44,01,col.date,unmarked,44.35,43,43,
44,02,col.date,unmarked,42.13,43,43,some from bag
46,17,,deformed,41.93,45,45,
46,18,,deformed,41.51,69,65,
48,01,col.date,deformed,45.35,34,34,
48,02,col.date,unmarked,44.85,32,32,
48,03,col.date,unmarked,53.01,58,58,seeds from bag
50,02,col.date,deformed,40.12,40,18,
50,03,col.date,unmarked,36.73,26,11,some fell out
50,04,col.date,deformed,30.87,27,16,
50,05,col.date,unmarked,37.53,34,34,
52,01,coll.date,unmarked,46.92,76,76,
52,02,coll.date,unmarked,41.96,16,16,
56,22,10/06/2021,unmarked,57.3,98,98,
56,28,10/06/2021,unmarked,65.58,95,95,
56,32,coll.date,deformed,,70,70,wet
56,01,coll.date,unmarked,61.36,71,71,
56,02,coll.date,unmarked,52.23,46,46,
56,03,coll.date,unmarked,40.83,13,13,
56,04,coll.date,pollinated,60.93,50,50,
56,05,coll.date,unmarked,59.92,55,55,
