"PID","tot.area","type","treatment"
1,1050,"TB","WAND"
3,450,"TB","WE"
5,1150,"TB","WOWE"
6,850,"DC","WE"
7,0,"TB","CON"
8,2200,"DC","WAND"
9,450,"TB","WAND"
10,0,"DC","CON"
11,900,"TB","WAND"
13,0,"TB","CON"
14,350,"DC","WOWE"
15,900,"TB","WE"
17,600,"TB","WOWE"
18,0,"DC","CON"
19,850,"TB","WE"
21,0,"TB","CON"
22,1725,"DC","WOWE"
23,700,"TB","WAND"
24,0,"DC","CON"
25,200,"TB","WOWE"
26,1400,"DC","WE"
27,700,"TB","WE"
29,2400,"TB","WOWE"
30,1900,"DC","WAND"
31,600,"TB","WE"
32,0,"DC","CON"
33,0,"TB","CON"
34,150,"DC","WE"
35,1850,"TB","WAND"
36,425,"DC","WOWE"
37,1300,"TB","WOWE"
38,0,"DC","CON"
39,750,"TB","WAND"
40,700,"DC","WE"
41,450,"TB","WE"
42,50,"DC","WOWE"
43,900,"TB","CON"
44,2625,"DC","WAND"
45,0,"TB","WOWE"
46,525,"DC","WE"
47,0,"TB","CON"
48,500,"DC","WOWE"
50,0,"DC","CON"
51,1650,"TB","WOWE"
52,1900,"DC","WAND"
53,650,"TB","WE"
55,0,"TB","CON"
56,750,"DC","WAND"
57,250,"TB","WE"
58,1975,"DC","WOWE"
59,400,"TB","WOWE"
60,0,"DC","CON"
61,200,"TB","WAND"
62,2325,"DC","WE"
63,0,"TB","CON"
64,725,"DC","WAND"
65,1100,"TB","WOWE"
66,0,"DC","CON"
67,750,"TB","WE"
68,650,"DC","WE"
69,450,"TB","WAND"
71,0,"TB","CON"
72,1750,"DC","WAND"
73,550,"TB","WAND"
74,0,"DC","CON"
75,250,"TB","WE"
76,2050,"DC","WOWE"
77,50,"TB","WOWE"
78,450,"DC","WE"
79,0,"TB","CON"
80,1050,"DC","WAND"
81,250,"TB","WAND"
82,0,"DC","CON"
83,600,"TB","WAND"
85,0,"TB","CON"
86,575,"DC","WOWE"
87,250,"TB","WE"
88,850,"DC","WAND"
89,300,"TB","WOWE"
90,0,"DC","CON"
91,850,"TB","WE"
92,250,"DC","WE"
93,0,"TB","CON"
94,550,"DC","WOWE"
95,900,"TB","WAND"
96,0,"DC","CON"
97,2200,"TB","WOWE"
98,575,"DC","WE"
99,300,"TB","WE"
100,1650,"DC","WOWE"
101,1600,"TB","WOWE"
102,700,"DC","WAND"
103,750,"TB","WE"
105,0,"TB","CON"
106,200,"DC","WE"
107,1500,"TB","WAND"
108,150,"DC","WOWE"
109,950,"TB","WOWE"
110,0,"DC","CON"
111,900,"TB","WAND"
112,400,"DC","WE"
113,550,"TB","WE"
114,1375,"DC","WOWE"
115,0,"TB","CON"
116,2750,"DC","WAND"
117,1800,"TB","WOWE"
118,250,"DC","WE"
119,0,"TB","CON"
120,1525,"DC","WOWE"
121,1850,"TB","WAND"
122,0,"DC","CON"
123,550,"TB","WOWE"
124,1950,"DC","WAND"
125,300,"TB","WE"
126,500,"DC","WE"
127,0,"TB","CON"
128,1200,"DC","WAND"
129,600,"TB","WE"
130,1375,"DC","WOWE"
131,0,"TB","WOWE"
132,0,"DC","CON"
133,650,"TB","WAND"
134,750,"DC","WE"
135,0,"TB","CON"
136,1025,"DC","WAND"
137,150,"TB","WOWE"
138,0,"DC","CON"
139,1350,"TB","WE"
140,400,"DC","WE"
141,800,"TB","WAND"
142,50,"DC","WOWE"
143,0,"TB","CON"
144,1050,"DC","WAND"
145,800,"TB","WAND"
146,0,"DC","CON"
147,400,"TB","WE"
148,1025,"DC","WOWE"
149,800,"TB","WOWE"
150,250,"DC","WE"
151,0,"TB","CON"
152,700,"DC","WAND"
153,0,"TB","CON"
154,950,"DC","WAND"
155,900,"TB","WE"
156,0,"DC","CON"
157,200,"TB","WOWE"
158,450,"DC","WE"
159,2150,"TB","WAND"
160,1000,"DC","WOWE"
161,600,"TB","WE"
162,750,"DC","WE"
163,0,"TB","CON"
164,800,"DC","WOWE"
165,2800,"TB","WAND"
166,0,"DC","CON"
167,600,"TB","WOWE"
168,350,"DC","WE"
171,1300,"TB","WAND"
178,300,"DC","WE"
180,1925,"DC","WAND"
182,950,"DC","WE"
184,1250,"DC","WOWE"
190,825,"DC","WE"
192,0,"DC","CON"
194,3300,"DC","WOWE"
196,550,"DC","WE"
302,1625,"DC","WOWE"
304,0,"DC","CON"
