"pid","tot.flowers"
1,0
3,0
5,48
6,2
7,0
8,7
9,2
10,13
11,0
13,0
14,11
15,0
17,0
18,6
19,5
21,6
22,3
23,10
24,5
25,19
26,1
27,14
29,19
30,53
31,1
32,1
33,35
34,45
35,1
36,3
37,63
38,7
39,43
40,9
41,0
42,2
43,0
44,4
45,62
46,9
47,9
48,15
50,5
51,9
52,4
53,10
55,6
56,22
57,62
58,54
59,11
60,10
61,0
62,6
63,26
64,128
65,32
66,6
67,2
68,141
69,75
71,54
72,6
73,0
74,105
75,100
76,2
77,59
78,76
79,23
80,7
81,0
82,10
83,75
85,61
86,6
87,49
88,10
89,78
90,7
91,60
92,1
93,10
94,4
95,67
96,126
97,7
98,6
99,128
100,15
101,46
102,14
103,99
105,55
106,8
107,20
108,20
109,0
110,0
111,0
112,9
113,65
114,0
115,69
116,1
117,79
118,12
119,0
120,14
121,25
122,18
123,13
124,16
125,89
126,21
127,0
128,8
129,45
130,6
131,119
132,5
133,132
134,2
135,191
136,9
137,0
138,8
139,69
140,1
141,2
142,14
143,102
144,15
145,0
146,10
147,0
148,8
149,31
150,22
151,31
152,54
153,0
154,6
155,76
156,7
157,0
158,6
159,62
160,5
161,52
162,114
163,31
164,105
165,13
166,12
167,74
168,4
171,0
178,48
180,1
182,5
184,3
190,4
192,3
194,6
196,5
302,4
304,10
