date,pid,num.pods.m,num.pods.imm,num.flower.pol,num.flower.unpol
10/3/2022,201,102,0,2,26
10/3/2022,202,0,1,0,1
10/3/2022,203,113,10,4,31
10/3/2022,204,0,2,0,0
10/3/2022,205,109,2,2,11
10/3/2022,206,3,2,7,5
10/3/2022,207,19,53,2,1
10/3/2022,208,1,4,0,0
10/3/2022,209,36,34,7,7
10/3/2022,210,2,2,0,1
10/3/2022,211,94,24,12,37
10/3/2022,212,3,6,0,0
10/3/2022,213,126,50,18,13
10/3/2022,214,2,4,2,1
10/3/2022,215,116,35,11,57
10/3/2022,216,0,3,2,0
10/3/2022,217,67,86,13,31
10/3/2022,218,5,10,2,0
10/3/2022,219,136,0,0,14
10/3/2022,220,7,14,6,1
10/3/2022,221,98,20,13,38
10/3/2022,222,8,6,0,10
10/3/2022,223,100,1,0,9
10/3/2022,224,7,4,0,3
10/3/2022,225,87,24,0,0
10/3/2022,226,3,6,1,1
10/3/2022,227,82,96,12,5
10/3/2022,228,2,5,3,0
10/3/2022,229,96,87,5,43
10/3/2022,230,0,0,0,0
10/3/2022,231,66,20,10,13
10/3/2022,232,1,9,0,0
10/3/2022,233,49,28,0,5
10/3/2022,234,5,6,2,2
10/3/2022,235,121,0,0,2
10/3/2022,236,0,1,0,1
10/3/2022,237,96,7,0,0
10/3/2022,238,3,10,3,0
10/3/2022,239,119,0,5,32
10/3/2022,240,5,16,3,4
10/4/2022,241,0,66,3,10
10/3/2022,242,0,2,0,0
10/4/2022,243,95,26,4,21
10/3/2022,244,0,3,3,0
10/4/2022,245,64,19,0,5
10/3/2022,246,1,0,1,0
10/4/2022,247,67,29,3,31
10/3/2022,248,0,3,0,0
10/4/2022,249,106,1,2,16
10/3/2022,250,0,3,0,0
10/4/2022,251,67,67,0,13
10/3/2022,252,0,5,0,0
10/4/2022,253,66,0,1,28
10/3/2022,254,6,3,0,0
10/4/2022,255,83,49,2,36
10/3/2022,256,6,8,3,3
10/4/2022,257,67,14,0,0
10/3/2022,258,0,4,2,0
10/4/2022,259,106,54,11,32
10/3/2022,260,8,12,3,2
10/3/2022,261,80,54,5,36
10/3/2022,262,0,0,0,0
10/3/2022,263,67,27,5,37
10/3/2022,264,0,2,0,0
10/4/2022,265,93,26,7,56
10/3/2022,266,0,1,0,0
10/4/2022,267,75,0,0,0
10/3/2022,268,0,1,0,0
10/4/2022,269,77,14,6,15
10/4/2022,270,5,1,0,6
10/4/2022,271,0,58,9,9
10/4/2022,272,0,3,0,0
10/4/2022,273,80,9,1,17
10/4/2022,274,2,4,0,2
10/3/2022,275,96,5,1,15
10/4/2022,276,2,3,0,3
10/3/2022,277,23,13,0,21
10/4/2022,278,0,1,0,0
10/3/2022,279,9,46,4,13
10/4/2022,280,1,0,0,0
