flat,pid,num.seeds,num.sprouted,prop.sprouted
1,201,12,10,0.8333333333
1,203,12,7,0.5833333333
1,205,12,12,1
1,207,12,12,1
1,209,12,12,1
1,211,12,12,1
1,213,12,8,0.6666666667
1,215,12,12,1
2,206,12,4,0.3333333333
2,208,12,2,0.1666666667
2,210,12,7,0.5833333333
2,212,12,3,0.25
2,214,12,4,0.3333333333
2,218,12,5,0.4166666667
2,220,12,4,0.3333333333
2,222,12,6,0.5
3,217,12,12,1
3,219,12,12,1
3,221,12,12,1
3,223,12,12,1
3,225,12,12,1
3,227,12,12,1
3,229,12,10,0.8333333333
3,231,12,12,1
4,224,12,2,0.1666666667
4,226,12,6,0.5
4,228,12,6,0.5
4,232,9,3,0.3333333333
4,234,12,5,0.4166666667
4,238,12,8,0.6666666667
4,240,12,4,0.3333333333
4,246,12,4,0.3333333333
5,233,12,11,0.9166666667
5,235,12,12,1
5,237,12,12,1
5,239,12,12,1
5,243,12,12,1
5,245,12,11,0.9166666667
5,247,12,12,1
5,249,12,12,1
6,254,12,2,0.1666666667
6,256,12,3,0.25
6,260,12,2,0.1666666667
6,270,12,9,0.75
6,274,12,9,0.75
6,276,12,5,0.4166666667
6,280,12,4,0.3333333333
7,251,12,11,0.9166666667
7,253,12,11,0.9166666667
7,255,12,12,1
7,257,12,9,0.75
7,259,12,12,1
7,261,12,10,0.8333333333
7,263,12,12,1
7,265,12,8,0.6666666667
9,267,12,7,0.5833333333
9,269,12,12,1
9,273,12,10,0.8333333333
9,275,12,12,1
9,277,12,11,0.9166666667
9,279,12,10,0.8333333333
