date,pid,num.leaf,position,exit,notes
7/15,205,1,M,,
7/16,220,1,M,,
7/16,218,1,T,,
7/16,216,1,M,,
7/16,214,1,B,,
7/16,213,1,M,,
7/16,211,1,T,,
7/16,210,1,T,,
7/16,209,1,M,,
7/16,208,1,T,,
7/16,207,1,M,,
7/16,205,1,M,,
7/16,204,1,T,,
7/16,203,,,died,
7/16,202,1,T,,
7/16,221,1,M,,
7/16,223,1,M,,
7/16,224,1,T,,
7/16,230,1,M,,
7/16,236,1,M,,
7/17,220,1,M,,
7/17,219,1,M,,
7/17,218,1,T,,
7/17,216,2,T,,
7/17,214,1,B,,
7/17,213,1,M,,
7/17,211,2,T,,
7/17,210,1,T,,
7/17,209,1,M,,
7/17,208,1,T,,
7/17,207,1,M,,
7/17,205,2,M,,
7/17,204,1,T,,
7/17,202,1,T,,
7/17,221,2,T,,
7/17,223,1,M,,
7/17,224,1,T,,
7/17,225,1,M,,
7/17,226,1,M,,
7/17,227,1,T,,
7/17,229,1,M,,
7/17,230,1,M,,
7/17,232,1,T,,
7/17,234,1,M,,
7/17,235,1,M,,
7/17,236,1,M,,
7/17,237,1,M,,
7/17,240,1,M,,
7/17,253,1,M,,
7/17,251,1,M,,
7/17,245,1,M,,
7/17,243,1,M,,
7/17,241,1,B,,
7/18,220,1,M,,
7/18,219,2,T,,
7/18,218,2,T,,
7/18,216,3,T,,
7/18,214,1,B,,
7/18,213,2,M,,
7/18,211,2,T,,
7/18,210,1,T,,
7/18,209,2,M,,
7/18,208,1,T,,
7/18,207,1,M,,
7/18,205,3,T,,
7/18,204,1,T,,
7/18,202,2,T,,
7/18,221,3,T,,
7/18,223,1,M,,
7/18,224,1,T,,
7/18,225,1,M,,
7/18,226,1,M,,
7/18,227,2,T,,
7/18,229,2,M,,
7/18,230,1,M,,
7/18,232,2,T,,
7/18,234,2,T,,
7/18,235,1,M,,
7/18,236,1,M,,
7/18,237,2,M,,
7/18,240,1,M,,
7/18,259,1,M,,
7/18,257,1,M,,
7/18,255,1,M,,
7/18,253,1,M,,
