"PID","tot.area","type","treatment"
201,0,"TB","CON"
202,1250,"DC","WAND"
203,300,"TB","WE"
204,2925,"DC","WOWE"
205,900,"TB","WAND"
206,0,"DC","CON"
207,3550,"TB","WOWE"
208,400,"DC","WE"
209,3150,"TB","WOWE"
210,550,"DC","WE"
211,450,"TB","WAND"
212,0,"DC","CON"
213,1400,"TB","WE"
214,3225,"DC","WOWE"
215,600,"TB","CON"
216,1475,"DC","WAND"
217,0,"TB","CON"
218,825,"DC","WAND"
219,450,"TB","WE"
220,2250,"DC","WOWE"
221,1000,"TB","WAND"
222,0,"DC","CON"
223,1900,"TB","WOWE"
224,250,"DC","WE"
225,3450,"TB","WOWE"
226,325,"DC","WE"
227,600,"TB","WAND"
228,0,"DC","CON"
229,550,"TB","WE"
230,2150,"DC","WOWE"
231,0,"TB","CON"
232,950,"DC","WAND"
233,0,"TB","CON"
234,825,"DC","WAND"
235,450,"TB","WE"
236,3125,"DC","WOWE"
237,1050,"TB","WAND"
238,0,"DC","CON"
239,1800,"TB","WOWE"
240,325,"DC","WE"
241,2000,"TB","WOWE"
242,800,"DC","WE"
243,700,"TB","WE"
244,0,"DC","CON"
245,1650,"TB","WAND"
246,2350,"DC","WOWE"
247,0,"TB","CON"
248,1475,"DC","WAND"
249,0,"TB","CON"
250,2550,"DC","WAND"
251,500,"TB","WE"
252,2550,"DC","WOWE"
253,1300,"TB","WAND"
254,0,"DC","CON"
255,2300,"TB","WOWE"
256,200,"DC","WE"
257,750,"TB","WOWE"
258,1100,"DC","WE"
259,1650,"TB","WAND"
260,0,"DC","CON"
261,600,"TB","WE"
262,2750,"DC","WOWE"
263,0,"TB","CON"
264,775,"DC","WAND"
265,0,"TB","CON"
266,1150,"DC","WAND"
267,650,"TB","WE"
268,4075,"DC","WOWE"
269,900,"TB","WAND"
270,0,"DC","CON"
271,4100,"TB","WOWE"
272,500,"DC","WE"
273,2600,"TB","WOWE"
274,450,"DC","WE"
275,600,"TB","WAND"
276,0,"DC","CON"
277,550,"TB","WE"
278,2700,"DC","WOWE"
279,0,"TB","CON"
280,1575,"DC","WAND"
