"pid","tot.flowers"
201,122
202,4
203,134
204,14
205,135
206,9
207,48
208,12
209,72
210,7
211,138
212,24
213,183
214,25
215,185
216,5
217,170
218,30
219,126
220,46
221,126
222,56
223,99
224,26
225,128
226,17
227,125
228,10
229,158
230,1
231,80
232,22
233,87
234,26
235,136
236,8
237,94
238,22
239,113
240,41
241,52
242,7
243,98
244,9
245,86
246,4
247,106
248,7
249,130
250,12
251,141
252,15
253,89
254,35
255,107
256,29
257,67
258,5
259,118
260,61
261,127
262,1
263,97
264,3
265,143
266,5
267,73
268,4
269,88
270,16
271,42
272,9
273,98
274,11
275,103
276,13
277,59
278,7
279,72
280,6
