pid,type,treatment,row ,column,cid,
201,TB,CON,1,1,,
202,DC,WAND,2,1,002,
203,TB,WE,3,1,013,061
204,DC,WOWE,4,1,004,
205,TB,WAND,5,1,001,
206,DC,CON,6,1,,
207,TB,WOWE,7,1,014,
208,DC,WE,8,1,003,
209,TB,WOWE,9,1,019,
210,DC,WE,10,1,007,
211,TB,WAND,11,1,016,
212,DC,CON,12,1,,
213,TB,WE,13,1,017,
214,DC,WOWE,14,1,008,
215,TB,CON,15,1,,
216,DC,WAND,16,1,006,
217,TB,CON,17,1,,
218,DC,WAND,18,1,010,
219,TB,WE,19,1,025,
220,DC,WOWE,20,1,012,
221,TB,WAND,20,2,020,
222,DC,CON,19,2,,
223,TB,WOWE,18,2,015,
224,DC,WE,17,2,011,
225,TB,WOWE,16,2,028,
226,DC,WE,15,2,022,
227,TB,WAND,14,2,026,
228,DC,CON,13,2,,
229,TB,WE,12,2,027,
230,DC,WOWE,11,2,005,
231,TB,CON,10,2,,
232,DC,WAND,9,2,021,
233,TB,CON,8,2,,
234,DC,WAND,7,2,023,
235,TB,WE,6,2,030,
236,DC,WOWE,5,2,009,
237,TB,WAND,4,2,029,
238,DC,CON,3,2,,
239,TB,WOWE,2,2,031,062
240,DC,WE,1,2,024,
241,TB,WOWE,1,3,034,
242,DC,WE,2,3,039,
243,TB,WE,3,3,033,
244,DC,CON,4,3,,
245,TB,WAND,5,3,032,
246,DC,WOWE,6,3,037,
247,TB,CON,7,3,,
248,DC,WAND,8,3,038,
249,TB,CON,9,3,,
250,DC,WAND,10,3,041,
251,TB,WE,11,3,036,
252,DC,WOWE,12,3,040,
253,TB,WAND,13,3,035,
254,DC,CON,14,3,,
255,TB,WOWE,15,3,044,
256,DC,WE,16,3,042,
257,TB,WOWE,17,3,047,
258,DC,WE,18,3,054,
259,TB,WAND,19,3,045,
260,DC,CON,20,3,,
261,TB,WE,20,4,046,
262,DC,WOWE,19,4,043,
263,TB,CON,18,4,,
264,DC,WAND,17,4,053,
265,TB,CON,16,4,,
266,DC,WAND,15,4,056,
267,TB,WE,14,4,049,064
268,DC,WOWE,13,4,055,
269,TB,WAND,12,4,048,
270,DC,CON,11,4,,
271,TB,WOWE,10,4,050,067
272,DC,WE,9,4,057,
273,TB,WOWE,8,4,063,065
274,DC,WE,7,4,060,
275,TB,WAND,6,4,051,
276,DC,CON,5,4,,
277,TB,WE,4,4,052,066
278,DC,WOWE,3,4,058,
279,TB,CON,2,4,,
280,DC,WAND,1,4,059,
